
-768,-18914,
-806,-19941,
-844,-20601,
-881,-21671,
-919,-22720,
-957,-23502,
-995,-24446,
-1032,-25321,
-1074,-26425,
-1115,-27264,
-1157,-28474,
-1198,-29278,
-1240,-30356,
-1283,-31384,
-1324,-32298,
-1365,-33541,
-1407,-34467,
-1448,-35247,
-1490,-36367,
-1532,-37414,
-1574,-38487,
-1616,-39337,
-1658,-40533,
-1700,-41377,
-1741,-42415,
-1783,-43564,
-1824,-44421,
-1865,-45422,
-1907,-46309,
-1950,-47310,
-1992,-48422,
-2033,-49276,
-2076,-50473,
-2118,-51426,
-2160,-52309,
-2202,-53271,
-2245,-54257,
-2287,-55312,
-2328,-56155,
-2369,-57259,
-2411,-58235,
-2454,-59261,
-2497,-60227,
-2540,-61300,
-2583,-62272,
-2625,-63305,
-2667,-64326,
-2709,-65059,
-2751,-65936,
-2793,-67019,
-2835,-68158,
-2877,-69132,
-2919,-70026,
-2961,-71049,
-3003,-72000,
-3045,-72983,
-3086,-73945,
-3128,-74960,
-3171,-75899,
-3214,-76976,
-3257,-78066,
-3301,-78973,
-3343,-79812,
-3384,-80667,
-3425,-81725,
-3467,-82576,
-3508,-83570,
-3551,-84612,
-3593,-85647,
-3636,-86680,
-3678,-87560,
-3720,-88540,
-3761,-89370,
-3803,-90504,
-3847,-91459,
-3890,-92463,
-3933,-93409,
-3974,-94263,
-4017,-95322,
-4074,-96681,
-4161,-98480,
-4236,-100216,
-4324,-102320,
-4377,-100847,
-4399,-97722,
-4353,-103151,
-4265,-99630,
-4182,-97700,
-4098,-95664,
-4016,-93742,
-3940,-91939,
-3858,-89926,
-3776,-88086,
-3694,-86328,
-3614,-84392,
-3534,-82612,
-3451,-80649,
-3364,-78573,
-3284,-76693,
-3201,-74759,
-3120,-72766,
-3039,-71012,
-2959,-69025,
-2874,-67071,
-2794,-65225,
-2712,-63118,
-2625,-61197,
-2537,-59126,
-2455,-57305,
-2373,-55260,
-2293,-53621,
-2212,-51339,
-2132,-49467,
-2053,-47651,
-2009,-46559,
-1968,-45594,
-1926,-44501,
-1885,-43552,
-1844,-42700,
-1803,-41638,
-1762,-40561,
-1722,-39805,
-1679,-38677,
-1638,-37508,
-1596,-36525,
-1554,-35763,
-1513,-34705,
-1471,-33654,
-1430,-32705,
-1389,-31664,
-1347,-30649,
-1306,-29549,
-1266,-28711,
-1223,-27696,
-1182,-26609,
-1141,-25677,
-1100,-24629,
-1060,-23760,
-1020,-22766,
-979,-21809,
-941,-20770,
-903,-19785,
-865,-18909,
-827,-17934,
-789,-16995,
-751,-16256,
-714,-15188,
-676,-14340,
-638,-13471,
-600,-12325,
-562,-11516,
-525,-10283,
-488,-9576,
-453,-8738,
-420,-7923,
-386,-7225,
-353,-6151,
-319,-5554,
-285,-4579,
-252,-3643,
-218,-2846,
-185,-2061,
-151,-1215,
-119,-474,
-90,138,
-64,1012,
-36,1567,
-7,2195,
